Location;Industry;Subcategory_ID;Hierarchy_Level;Data_Type;Global_Brand_Owner;Unit;Year_text;Year_date;Year_minus_2016;Volume
8;Alcoholic Drinks;13;1;Total Volume;UB Group;million litres;2019;Tuesday, 31 Dec 2019;7;1306,249574
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;UB Group;million litres;2020;31-12-20;8;1209,021052
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;UB Group;million litres;2021;31-12-21;9;1234,925948
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Henan Jinxing Brewery Group;million litres;2017;Sunday, 31 Dec 2017;5;1466,889895
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Henan Jinxing Brewery Group;million litres;2018;31 12 2018;6;1246,850049
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Henan Jinxing Brewery Group;million litres;2019;31 12 2019;7;1309,192531
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Henan Jinxing Brewery Group;million litres;2020;31-12-20;8;1267,298475
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Henan Jinxing Brewery Group;million litres;2021;31 12 2021;9;1193,79515
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Guangzhou Zhujiang Brewery Co Ltd;million litres;2017;31-12-17;5;1114,000003
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Guangzhou Zhujiang Brewery Co Ltd;million litres;2018;Monday, 31 Dec 2018;6;1169,899968
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Guangzhou Zhujiang Brewery Co Ltd;million litres;2019;Tue, 31 December 2019;7;1159,8001
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Guangzhou Zhujiang Brewery Co Ltd;million litres;2020;31 12 2020;8;1162,000001
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Guangzhou Zhujiang Brewery Co Ltd;million litres;2021;31 12 2021;9;1150,379981
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Grupo Mahou-San Miguel SA;million litres;2017;Sunday, 31 Dec 2017;5;1013,664177
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Grupo Mahou-San Miguel SA;million litres;2018;31-Dec-18;6;1043,24071
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Grupo Mahou-San Miguel SA;million litres;2019;31 12 2019;7;1096,147569
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Grupo Mahou-San Miguel SA;million litres;2020;31-Dec-20;8;1124,932192
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Grupo Mahou-San Miguel SA;million litres;2021;31-12-21;9;1146,067453
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Boon Rawd Brewery Co Ltd;million litres;2017;31-12-17;5;1158,897097
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Boon Rawd Brewery Co Ltd;million litres;2018;Monday, 31 Dec 2018;6;1148,548319
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Boon Rawd Brewery Co Ltd;million litres;2019;31-12-19;7;1061,411451
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Boon Rawd Brewery Co Ltd;million litres;2020;Thursday, 31 Dec 2020;8;1058,234892
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Boon Rawd Brewery Co Ltd;million litres;2021;31-12-21;9;1073,574964
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Blue Ribbon Intermediate Holdings LLC;million litres;2018;Monday, 31 Dec 2018;6;1071,769067
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Blue Ribbon Intermediate Holdings LLC;million litres;2019;31 12 2019;7;1067,608989
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Blue Ribbon Intermediate Holdings LLC;million litres;2020;31 12 2020;8;1057,514164
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Blue Ribbon Intermediate Holdings LLC;million litres;2021;31-Dec-21;9;1045,440358
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Thai Beverage PCL;million litres;2017;31 12 2017;5;746,2283689
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Thai Beverage PCL;million litres;2018;Monday, 31 Dec 2018;6;766,8533686
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Thai Beverage PCL;million litres;2019;31 12 2019;7;696,2219372
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Thai Beverage PCL;million litres;2020;Thu, 31 December 2020;8;865,6826272
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Thai Beverage PCL;million litres;2021;31-Dec-21;9;879,9499271
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Sapporo Holdings Ltd;million litres;2017;31-12-17;5;826,0124871
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Sapporo Holdings Ltd;million litres;2018;31-12-18;6;801,6581697
