,Location,Industry,Subcategory_ID,Hierarchy_Level,Data_Type,Global_Brand_Owner,Unit,Year_text,Year_date,Year_minus_2016,Volume,Volume_liters
167,World,Alcoholic Drinks,Beer,1.0,Total Volume,Grupo Mahou-San Miguel SA,million litres,2017.0,31-12-2017,5.0,1013.664177,1013664177.0
168,World,Alcoholic Drinks,Beer,1.0,Total Volume,Grupo Mahou-San Miguel SA,million litres,2018.0,31-12-2018,6.0,1043.24071,1043240710.0
169,World,Alcoholic Drinks,Beer,1.0,Total Volume,Grupo Mahou-San Miguel SA,million litres,2019.0,31-12-2019,7.0,1096.147569,1096147569.0
170,World,Alcoholic Drinks,Beer,1.0,Total Volume,Grupo Mahou-San Miguel SA,million litres,2020.0,31-12-2020,8.0,1124.932192,1124932192.0
171,World,Alcoholic Drinks,Beer,1.0,Total Volume,Grupo Mahou-San Miguel SA,million litres,2021.0,31-12-2021,9.0,1146.067453,1146067453.0
172,World,Alcoholic Drinks,Beer,1.0,Total Volume,Boon Rawd Brewery Co Ltd,million litres,2017.0,31-12-2017,5.0,1158.897097,1158897097.0
173,World,Alcoholic Drinks,Beer,1.0,Total Volume,Boon Rawd Brewery Co Ltd,million litres,2018.0,31-12-2018,6.0,1148.548319,1148548319.0
174,World,Alcoholic Drinks,Beer,1.0,Total Volume,Boon Rawd Brewery Co Ltd,million litres,2019.0,31-12-2019,7.0,1061.411451,1061411451.0
175,World,Alcoholic Drinks,Beer,1.0,Total Volume,Boon Rawd Brewery Co Ltd,million litres,2020.0,31-12-2020,8.0,1058.234892,1058234892.0
176,World,Alcoholic Drinks,Beer,1.0,Total Volume,Boon Rawd Brewery Co Ltd,million litres,2021.0,31-12-2021,9.0,1073.574964,1073574963.9999999
